,Tweet,Location,For guns?
0,8 guns like squidward,"South Whittier, CA",-2.0
1,"Interesting as-applied challenge to Florida #StonemanDouglasHS public safety act by @NRA. 

In addition to asking the whole law to be struck down, the NRA says the law is unconstitutional as applied to females, age 18-21, because they aren’t likely to commit school shootings. ","Washington, DC",0.0
2,@ed_grimly @HuffPost does it say 18 years old are allowed have guns that are used for war? Nope,"Garland, TX",0.0
3,Screw these gun nuts. ,"Franklin, MA",-2.0
4,"@icecube taught me back in school how gun control worked..."" so what they do go and ban the AK?
My shit wasn't registered any fucking way"". It's simple as that, gun control is as worthless as the War on Drugs.","Cedarville, IN",0.0
5,Screw anyone trying to limit someones 5th amendment ...I know if I was 18-20 (I'm 26!) I wouldn't support this crap one bit. Politicians are idiots and protesters/gun control advocates are emotional symptom oriented people that do not care about solutions. ,"Colorado Springs, CO",-2.0
6,"Don’t forget, the #NRA wants people to be able to kill as many people as possible. Blood on their hands. ","Chicago, IL",0.0
7,The temerity of this organization never ceases to amaze. #NeverAgain ,"North Canton, OH",-2.0
8,@davidhogg111 @realDonaldTrump What in the crap does “harden schools” mean? And firearms sales are already taxed. Uh....,"Florence, AL",0.0
9,Those triggers in the NRA database. ,"Vancouver, WA",-2.0
10,They big mad 😂 ,"Virginia, USA",-2.0
11,"Of course they did. 

Have things always been this dysfunctional and angry and I just missed it? ","North Carolina, USA",-2.0
12,These fuckers are ruthless. No let up in their assault on civilized society who wish to somehow reduce the carnage that guns have wrought. ,"Potomac, MD",-2.0
13,"It’s settled...the NRA is a soulless entity that cares for nothing other than gun sale profits. Whores all, shameless in their greed. ","California, USA",-2.0
14,@sjordan1978 @Michael03244989 @AP I have a lot of guns on my farm.. Never have I committed a felony or hurt a single animal. The left call them assault rifle's.. Because they hate the NRA. Why punish law abiding gun owners.?,"St Clair, MI",-2.0
15,Disgusting. JihaD ,"Summerfield, MD",-2.0
16,NRA is butthurt 😕 Sending thought and prayers. #FuckTheNRA ,"Westerville, OH",-2.0
17,"I love the @NRA's asinine position of belittling 18 year-old ""children"" for possessing opinions, while going to court to argue that raising the purchase age to 21 for guns is unconstitutional because 18 year-olds can vote.","Washington, DC",0.0
18,"@DLoesch The police were practicing their own liberal version of ‘gun control’. 

If a citizen had showed up with a firearm at the school at the time of the massacre apparently the police would have ordered them to stand back.","Pompano Beach, FL",-2.0
19,"@Rod36430927 @ananavarro Hi I’m not famous.  Average single mom that’s is an educator.  As an educator, this is a disservice to the children of American. As a mother, no way do I want guns and my District has promised to never allow that to happen and that makes me proud! #GoPatMed","Medford, NY",0.0
20,Going home to they mama house calling it the trap😂 ,"New Orleans, LA",-2.0
21,You brain is either a goldmine or it can be a garbage can... Lots of Americans have bad mental health which contributes more than anything to making the wrong decisions &amp; puts kids on psychopathic and criminal paths but no just take away the right &amp; our children will be safe 😂 ,"Colorado Springs, CO",0.0
22,Wow what a non surprising dick thing to do ,"Omaha, NE",-2.0
23,@dbongino @RaspanteYvonne In order to reach Dems progressive goal of Communism liberal style they must have gun control.,"Oregon, USA",-2.0
24,@ed_grimly @HuffPost no it's not and most of Americans will agree with me because most people want common sense gun laws,"Garland, TX",0.0
25,"As crazy as shit has been in our country, it's been a while since I have been shocked. My mouth is agape. @NRA #NRAIsATerroristOrganization ","Georgia, USA",-2.0
26,"@NRA You idiots in the NRA should be ashamed of your greedy behavior.   America has spoken and we don't want your fricking guns! It's not the old West and crazy kids crazy adults don't have any right to shoot machine guns on campus! No teacher should carry either,  that's just dumb!","Irvine, CA",1.0
