Tweet,For guns?,Location,For guns,Against guns,Makes no sense
@Mary_rnntt2 @lauren_hoggs You're blinded by your love of guns and you're a Christianin name only. So both. You disgust me.,0.0,"Mountain Lakes, NJ",0,1,0
"Hey #MNLEG, don’t be idiotic. gun laws, not paws laws. ",0.0,"Minneapolis, MN",0,1,0
"Gun owners, women, kids, all opposed to the absolutist and terroristic bent of the NRA hang tight with a common plan to put those politicians out of business who care more about NRA and money than American's safety and lives. ",0.0,"Houston, TX",0,1,0
@PhilipRucker Is he taking guns away from mentally-ill people without due process? I liked that one. Might have saved 3 women last week in the VA incident.,0.0,"Broomall, PA",0,1,0
Blissfully unaware that it’s too late: California has already been destroyed by Democrats. ,1.0,"Teaneck, NJ",1,0,0
Cuz in America we carry guns and will shoot their asses— another reason to support #2Amendment ,1.0,"Glendora, CA",1,0,0
"How come every time the left-Dems come after our guns 2A, they present a bunch of ideas on how disarm law abiding but not one idea on how to disarm criminals. Notice they’re only interested in our guns. Think about that.",1.0,"Miami, FL",1,0,0
I'm attending a Trump fundraiser. I'm down here in San Diego. Come after my business. I dare you. ,1.0,"San Diego, CA",1,0,0
@Omvati_Ji @leelizard4 @PnutBilly @BasedMonitored Yes at the end of my frustration in seeing this I do agree with you that guns should be last option,1.0,"San Francisco, CA",1,0,0
"White House vows to help arm teachers and backs off raising age for buying guns

Hey @realDonaldTrump how crazy are u",0.0,"Honolulu, HI",0,1,0
"@realDonaldTrump
lies, like other people breathe.  He's #PutinsPuppet, and in the NRA'S  pocket. #trumpLIES #NeverAgain ",0.0,"Southbury, CT",0,1,0
@MichaelHogan60 @n6ki_ @Steve03343829 @itsgabrielleu @NRA @DLoesch Who are you going to rely on for your safety if guns are banned?,1.0,"Pennsylvania, USA",1,0,0
"@2_CLASSY_SASSY @pja126 @crystalchappell I hear ya! Just stay firm, but loving-set rules w consequences &amp; stick to ur guns! Our oldest Grson’s always testing the rules &amp; he’s missing a ski trip bc he can’t follow rules! Lol",1.0,"Edmond, OK",1,0,0
People are truly evil and it’s scary and disgusting. If you make people feel bad about discomfort towards guns you’re a cock monster. ,1.0,"Morgantown, WV",1,0,0
Women with guns!! @ Big Nose Kate's Saloon ,1.0,"Arizona, USA",1,0,0
"Whatever helps the @NRA sell more guns.

",0.0,"San Francisco, CA",0,1,0
"So True.

Literalism is a Mental Disorder.

# Hillary was so righteously flawed ",1.0,"Boise, ID",1,0,0
The Cup Song - Pitch Perfect WITH GUNS!!!  (Jim Huish)  via @YouTube,1.0,"Pflugerville, TX",1,0,0
"@matthewamiller Let’s  allow all persons age 12 and over to buy and carry guns to school, playground, the mall, everywhere.  That should take of the school mass shooting problem.  Also let’s allow people to shout “Fire” in any crowded public space.  That’ll harden the schools.",0.0,"Dearborn, MI",0,1,0
"Things white folks talk about a lot. 
#1 “Karma” 
#2 Being without power 
#3 Gun control 
#4 Becoming “vegans” 
#5 Donald Trump 
Conclusion: White folks are boring. 
#LifeHack",0.0,"Stoneham, MA",0,1,0
"Here’s another ignorant rant from miss Ann. She clearly has no clue about the subject of firearms or the Constitution. And people (a few) watch her. Most likely because she waddles when she walks, but also because comical as she tries to be relevant. ",1.0,"Kentucky, USA",1,0,0
Ideally a safety plan should be able to include removal of firearms from the home. When someone expresses a desire to hurt themselves or others you eliminate the means to do so.,0.0,"Philadelphia, PA",0,1,0
"@CNNPolitics @cnnbrk RETURN TO SENDER: IN THE NAME OF CHRISTIANITY, THE RACIST USA SHOVED ALCOHOL, OPIATES, COCAINE &amp; GUNS INTO WORKING CLASS MINORITY NEIGHBORHOODS. KARMA IS A BOOMERANG @UN @AP @TMZ @espn @abc @latimes @NYDailyNews NOW YOU KNOW HOW WE FEEL. AS WILLIE NELSON SANG: WELCOME TO MY WORLD ",0.0,"Miami Beach, FL",0,1,0
The @NRA is to Trump what the SS was to Hitler. ,0.0,"Phoenix, AZ",0,1,0
When will people realizing that giving guns to the same people who can’t figure out how to turn off YouTube autoplay isn’t a good idea?,0.0,"Pennsylvania, USA",0,1,0
"Interesting that the worst thing Trump could say about Lamb was that he thought he (DJT) was better looking than Lamb. This isn’t a beauty contest. But if it was, Saccone would lose. #votelamb ",0.0,"Scott Township, PA",0,1,0
Some pretty awful images of both Clinton’s and both Obama’s were circulated in the last decade. Mr. Trump suggested “second Ammendment remedies” and the gun people put Hillary as a Target. ,0.0,"Los Angeles, CA",0,1,0
"@davidhogg111 @graywolf I’m a 60 year old retired teacher, and totally support you and all the Stoneman Douglas students. It’s time to do something about all the guns in this country. Keep up the great work!",0.0,"Centerville, OH",0,1,0
"Changing gun laws would have done and can do a hell of a lot more than changing mandatory reporting laws, and doesn’t a) keep people from seeking the help they need and b) involve unethically, unnecessarily, and iatrogenically imprisoning people",0.0,"Philadelphia, PA",0,1,0
"@EricMGarcia Confirmed by 1 vote margin, or was it 2? Didn’t know what IDEA was &amp; made lame joke about guns in schools when senator from CT (CT!) asked about guns in schools. 2 Qs: how much longer? Who actually is running DOEd? Names, please.",0.0,"Austin, TX",0,1,0
"@jeffgoldesq Help is on the way.  No more dancing around this issue. 🤢The highly qualified, Betsy DeVos 🤮 is going to head a commission to study proposals for raising the minimum age for buying guns from 18 to  21 &amp; requiring background checks.😩 MAGA=Making America's Guns Accessible.",0.0,"Davis, CA",0,1,0
Statistics show that about 15 students per week report sexual abuse by teacher or peer. Should we empower teachers with guns? No!,0.0,"Powell, OH",0,1,0
"Guns for everyone, allowed everywhere.  When the bad guys have them, then let the good guys have them too.  #45forschoolguard#MAGA",1.0,"Dearborn, MI",1,0,0
This is unbelievable...a “so called” Christian Leader inciting violence and promoting killing...evidently he has never even read the Bible ,0.0,"Florida, USA",0,1,0
Please don’t call her a snowflake. She’s a used up assault weapon ho. ,1.0,"Woodland, CA",1,0,0
A kid DID JUST THAT at my kids high school early 2000. He put in his gym shorts and went to pull out with a finger around trigger. He left crying.  Thank God instead of other kids. ,0.0,"Galt, CA",0,1,0
"For those of you on your soap box about weapons... YOU NEED TO learn what they are, and correctly identify them before you continue. Y'all won't get mine. Some of you thing shotguns are assault weapons. Guns don't hurt people..stupid people do #BanAssaultWeapons #youneedahobby ",1.0,"Pooler, GA",1,0,0
