tweetid,Tweet,For guns?,Location
0,8 guns like squidward,-2,"South Whittier, CA"
1,"Interesting as-applied challenge to Florida #StonemanDouglasHS public safety act by @NRA. 

In addition to asking the whole law to be struck down, the NRA says the law is unconstitutional as applied to females, age 18-21, because they aren’t likely to commit school shootings. ",-2,"Washington, DC"
2,@ed_grimly @HuffPost does it say 18 years old are allowed have guns that are used for war? Nope,-2,"Garland, TX"
3,Screw these gun nuts. ,-2,"Franklin, MA"
4,"@icecube taught me back in school how gun control worked..."" so what they do go and ban the AK?
My shit wasn't registered any fucking way"". It's simple as that, gun control is as worthless as the War on Drugs.",-2,"Cedarville, IN"
5,Screw anyone trying to limit someones 5th amendment ...I know if I was 18-20 (I'm 26!) I wouldn't support this crap one bit. Politicians are idiots and protesters/gun control advocates are emotional symptom oriented people that do not care about solutions. ,-2,"Colorado Springs, CO"
6,"Don’t forget, the #NRA wants people to be able to kill as many people as possible. Blood on their hands. ",-2,"Chicago, IL"
7,The temerity of this organization never ceases to amaze. #NeverAgain ,-2,"North Canton, OH"
8,@davidhogg111 @realDonaldTrump What in the crap does “harden schools” mean? And firearms sales are already taxed. Uh....,-2,"Florence, AL"
9,Those triggers in the NRA database. ,-2,"Vancouver, WA"
10,They big mad 😂 ,-2,"Virginia, USA"
11,"Of course they did. 

Have things always been this dysfunctional and angry and I just missed it? ",-2,"North Carolina, USA"
12,These fuckers are ruthless. No let up in their assault on civilized society who wish to somehow reduce the carnage that guns have wrought. ,-2,"Potomac, MD"
13,"It’s settled...the NRA is a soulless entity that cares for nothing other than gun sale profits. Whores all, shameless in their greed. ",-2,"California, USA"
14,@sjordan1978 @Michael03244989 @AP I have a lot of guns on my farm.. Never have I committed a felony or hurt a single animal. The left call them assault rifle's.. Because they hate the NRA. Why punish law abiding gun owners.?,-2,"St Clair, MI"
15,Disgusting. JihaD ,-2,"Summerfield, MD"
16,NRA is butthurt 😕 Sending thought and prayers. #FuckTheNRA ,-2,"Westerville, OH"
17,"I love the @NRA's asinine position of belittling 18 year-old ""children"" for possessing opinions, while going to court to argue that raising the purchase age to 21 for guns is unconstitutional because 18 year-olds can vote.",-2,"Washington, DC"
18,"@DLoesch The police were practicing their own liberal version of ‘gun control’. 

If a citizen had showed up with a firearm at the school at the time of the massacre apparently the police would have ordered them to stand back.",-2,"Pompano Beach, FL"
19,"@Rod36430927 @ananavarro Hi I’m not famous.  Average single mom that’s is an educator.  As an educator, this is a disservice to the children of American. As a mother, no way do I want guns and my District has promised to never allow that to happen and that makes me proud! #GoPatMed",-2,"Medford, NY"
20,Going home to they mama house calling it the trap😂 ,-2,"New Orleans, LA"
21,You brain is either a goldmine or it can be a garbage can... Lots of Americans have bad mental health which contributes more than anything to making the wrong decisions &amp; puts kids on psychopathic and criminal paths but no just take away the right &amp; our children will be safe 😂 ,-2,"Colorado Springs, CO"
22,Wow what a non surprising dick thing to do ,-2,"Omaha, NE"
